DATE,INDIGO,ICICI,Jet_Airways,SBI,TATA Chem,TATA Comm,HDFC,Bajaj Finance,KOTAK,Reliance
07-03-2019,1221.150024,370.799988,242.25,281.75,580.5,611.400024,1880.199951,2734.800049,1237.199951,1258.322388
08-03-2019,1243,370.600006,243.25,281.200012,577.900024,612.599976,1884.050049,2768.300049,1238.900024,1255.201904
11-03-2019,1301.949951,375.850006,247.399994,287.350006,588.549988,609.700012,1897.550049,2791.050049,1249.550049,1291.854492
12-03-2019,1269.699951,388.200012,244.899994,286.899994,583.599976,617.700012,1930,2753.050049,1263.349976,1318.848633
13-03-2019,1301.699951,391.899994,240.850006,293.149994,578.599976,599.650024,1950.650024,2828.149902,1261.25,1334.648804
14-03-2019,1299.800049,387.899994,237.800003,291.899994,577.900024,608.299988,1956.949951,2808.100098,1268.949951,1328.952881
15-03-2019,1296.050049,395.299988,235.149994,298.399994,585.75,608.849976,1974.650024,2860.75,1325.150024,1309.239746
18-03-2019,1320.75,398.049988,235.800003,298.950012,589.75,606.25,1962.400024,2929.550049,1343.650024,1337.373047
19-03-2019,1326.349976,398.399994,229.25,303.049988,591.849976,605.700012,1967.849976,2920.899902,1347.75,1363.624146
20-03-2019,1423.699951,392.899994,218.550003,303.799988,585.299988,612.900024,1987.550049,2868.600098,1351.599976,1362.534546
22-03-2019,1427.050049,391.799988,226.050003,298.049988,581.150024,600.299988,1981.550049,2836.649902,1336.25,1329.151001
25-03-2019,1384.449951,383.5,254.100006,294,574.700012,593,1945.650024,2849.800049,1308.650024,1312.013428
26-03-2019,1423.150024,394.100006,270.899994,303.5,582.950012,597.5,1946.300049,2934.350098,1342.949951,1354.411499
27-03-2019,1401.300049,393.200012,276.649994,308.799988,583.5,601.150024,1919.900024,2945.25,1332.849976,1336.580566
28-03-2019,1438.5,400.549988,269.200012,319,587.25,607.700012,1944.449951,2995.850098,1340.75,1347.229614
01-04-2019,1416.800049,398.25,266.100006,322.75,584.099976,610.549988,1959.650024,3001.449951,1339.400024,1378.780518
02-04-2019,1382.949951,397.149994,265,329,595.450012,604.849976,1995.949951,3055.199951,1339.449951,1376.650757
03-04-2019,1365.25,392.100006,251.75,320.5,590.950012,599,2013.099976,3046,1334.199951,1362.286865
04-04-2019,1431.949951,388.75,260.299988,321.799988,604.799988,595.75,2042.050049,3039.449951,1322.900024,1340.344849
05-04-2019,1419.300049,390.549988,256.100006,317.049988,606.950012,603.549988,2059.199951,3114.199951,1335.949951,1341.18689
08-04-2019,1413.150024,387.100006,264.25,312.799988,611.950012,592.450012,2054.899902,3024.100098,1343.25,1316.768311
09-04-2019,1391.050049,397.149994,267.399994,314.75,608.599976,582.049988,2069.149902,3008.699951,1341.449951,1321.919556
10-04-2019,1394,394.200012,263.100006,310.899994,611.299988,580.700012,2029.25,2998.350098,1349.900024,1318.898193
11-04-2019,1404.099976,390.049988,261.149994,314.899994,605.700012,586.299988,2022.800049,3047.850098,1343.199951,1334.153564
12-04-2019,1432.650024,394.600006,260.850006,315.25,607.400024,582.849976,2024.949951,3008.800049,1343.449951,1330.488281
15-04-2019,1477.349976,392.75,261.700012,315.600006,610.75,580.849976,2014.25,3022.25,1373.849976,1327.56604
16-04-2019,1581.900024,407,240.5,315.75,612.25,578.099976,2026.699951,3032.5,1386.400024,1331.132202
18-04-2019,1554.400024,404.399994,164.850006,310.799988,597.700012,572.299988,2003.75,3014.449951,1369.650024,1372.935913
